figure,row,export_dir,pattern,az,el,extra,env,frames,status
flicker,zoom insets,same as chairs,-,230,25,crop box (92.75/187 r46) per row applied via bbox transfer,,same as chairs,locked APPLIED
existing_texture,duck A strip,sx_duck,adapted,230,-4,--obj-roll 43.5 (render dir fo_duck_A),CAM_FILL=4.0,"102,118,134,150",locked APPLIED (floor shadow)
existing_texture,duck B strip,sx_duck,adapted,30,15,,CAM_FILL=4.0,"102,118,134,150",locked APPLIED (webpage nv2)
extended_texture_cont,clip1 view1,sx_cont2,adapted,205,15,,CAM_FILL=4.0,"30,70,110,150",locked APPLIED
extended_texture_cont,clip1 view2,sx_cont2,adapted,25,20,,CAM_FILL=4.0,"30,70,110,150",locked APPLIED
extended_texture_cont,clip2 view1,sx_cont1,adapted,205,15,,CAM_FILL=4.0,"30,65,91,132",locked APPLIED
extended_texture_cont,clip2 view2,sx_cont1,adapted,25,20,,CAM_FILL=4.0,"30,65,91,132",locked APPLIED
main_comparison,ours,sx_spot,adapted,225,25,,CAM_FILL=4.0,"19,55,105,150",locked APPLIED
main_comparison,frozen,sx_spot,frozen,225,25,,CAM_FILL=4.0,"76,95,125,150",locked APPLIED
main_comparison,meshnca,meshnca_export/spot_lava,meshnca,230,25,,CAM_FILL=4.0,"19,55,105,150",locked APPLIED
main_comparison,"L4GM, SV4D, DG4D rows",-,-,,,,,,BASELINES - NEVER RE-RENDER
spot_second_view,ours,sx_spot,adapted,40,25,,CAM_FILL=4.0,"1,50,105,150",locked APPLIED
spot_second_view,frozen,sx_spot,frozen,40,25,,CAM_FILL=4.0,"1,85,125,150",locked APPLIED
spot_second_view,meshnca,meshnca_export/spot_lava,meshnca,50,30,,CAM_FILL=4.0,"1,50,105,150",locked APPLIED
spot_second_view,baseline rows,-,-,,,,,,BASELINES - NEVER RE-RENDER
system,spot renders (4 panels),sx_spot,adapted,135,25,,CAM_FILL=4.0,"1,65,99,150",locked (face right)
failure_vase,ours viewA,sx_vase,adapted,180,15,,CAM_FILL=4.0,"30,70,110,150",locked APPLIED
failure_vase,frozen viewA,sx_vase,frozen,180,15,,CAM_FILL=4.0,"30,70,110,150",locked APPLIED
failure_vase,ours viewB,sx_vase,adapted,0,70,,CAM_FILL=4.0,"30,70,110,150",locked APPLIED (el70 user pick)
failure_vase,frozen viewB,sx_vase,frozen,0,70,,CAM_FILL=4.0,"30,70,110,150",locked APPLIED (el70 user pick)
generalization,spot (train shape),gx_ror_train,adapted,85,10,,CAM_FILL=4.0,"40,70,100,145",locked APPLIED
generalization,alien,gx_ror_alien,adapted,150,15,,CAM_FILL=4.0,"40,70,100,145",locked APPLIED
generalization,monster,gx_ror_monster,adapted,180,15,,CAM_FILL=4.0,"40,70,100,145",locked APPLIED
generalization,teapot,gx_ror_teapot,adapted,180,12,--rotx 90,CAM_FILL=4.0,"40,70,100,145",locked APPLIED
generalization,skull,gx_lava_train,adapted,145,30,,CAM_FILL=4.0,"8,15,28,65",locked APPLIED (flipped 180 per review)
generalization,sheep,gx_lava_thingi10k_wooly_sheep,adapted,210,15,,CAM_FILL=4.0,"8,15,28,65",locked APPLIED
generalization,chair,gx_lava_furnature_chair,adapted,90,15,,CAM_FILL=4.0,"8,15,28,65",locked APPLIED
generalization,dragon,gx_lava_dragons_xyzrgb_dragon,adapted,0,15,,CAM_FILL=4.0,"8,15,28,65",locked APPLIED
meshnca_ablation,target f16 run,meshnca_export_abl_spot_lava_f016/spot_lava,meshnca,225,25,,CAM_FILL=4.0,"16,53,98,150",locked APPLIED
meshnca_ablation,target f53 run,meshnca_export_abl_spot_lava_f053/spot_lava,meshnca,225,25,,CAM_FILL=4.0,"16,53,98,150",locked APPLIED
meshnca_ablation,target f98 run,meshnca_export_abl_spot_lava_f098/spot_lava,meshnca,225,25,,CAM_FILL=4.0,"16,53,98,150",locked APPLIED
meshnca_ablation,full target run,meshnca_export/spot_lava,meshnca,225,25,,CAM_FILL=4.0,"16,53,98,150",locked APPLIED
meshnca_ablation,left target panels,-,-,,,,,,TARGETS - NEVER RE-RENDER
technique,whole figure,-,-,,,,,,NO MESH RENDERS - UNCHANGED
teaser,rows + strip,vx_planeF / vx_planeT,adapted,,,r1 ~az220 e20 / r2 ~az130 e25 / strip az180 e0 (approximate),,,OWNED BY ANOTHER SESSION - DO NOT TOUCH
supp_page,ag unicorn NV2 clip,sx_unicorn,adapted,15,30,--obj-roll -25 (dir ag2_unicorn_diagC_rm25),CAM_FILL=3.0,1:150,shipped v4
supp_page,ag lady NV2 clip,sx_lady2,adapted,330,5,(dir ag2_lady_diagC_floor),CAM_FILL=3.0,1:150,shipped v4 (floor shadow)
